x,y,ID,polyid,stockid,abulast,abulastvar,trmean,trvar
1144465.88317663,1076500.28746796,344,CF36,9,16.0644115742639,591.145867826524,0.108814245135781,1.18684786596718
1133739.80287368,1074278.33133781,211,CF37,9,0.0000434879088612629,0.00000000526411943292651,-0.0000000595516459213935,0.00000000000963526098979731
1147543.74994768,1115746.74429175,1076,CF52,9,29.2107521009979,1893.60480092096,-0.327734157624978,3.10158945671806
1182488.3764682,1074129.12167661,1078,CF53,9,217.841738720619,81343.481081294,-1.71971537940354,148.525346069851
1040812.9476762,1193893.9548651,315,CG00,9,13.8712080826597,521.105170159404,-0.251761362146891,0.959663300404901
1205939.72555545,868554.454204028,331,BD77,10,12.2266776072238,5250.72932064646,0.278288243678564,2.82458417696772
1205860.22754499,878899.951931543,332,BD78,10,3.34400272260644,248.977490949218,-0.406064231292549,0.386672918985384
1200361.62761549,883971.285609675,333,BD79,10,206.232037143602,1028632.93621782,10.1471453716576,666.109297609638
1199678.58948992,895726.421932955,346,BD80,10,83.3176820948094,179207.93899147,6.82419644285372,124.373752107753
1208005.55290338,893159.29924447,347,BD81,10,281.8650787762,1467758.29132466,6.53027671538692,1295.97291155394
1204140.65181749,903886.684341738,348,BD82,10,63.7957487370369,116675.467661504,5.42229864626661,139.788206292564
1193970.6256247,912337.807721901,349,BD83,10,450.90812301305,5327719.9208269,37.0254805501494,1859.47062849282
1190806.1347906,947613.162283993,216,BE06,10,162.049931990447,1192453.3721336,40.0228504161107,635.988603393785
1201670.84648499,939581.160715031,217,BE07,10,96.4221349274738,235466.173806329,-10.0320745315008,239.15430168914
1207865.43559601,927147.391760939,242,BE08,10,11.1685524986039,4067.25239398549,-3.59003156978466,4.89112635337314
1214866.7348059,941646.999754912,243,BE09,10,122.840699330376,520696.667604873,-8.17964810867316,278.485222471281
1207088.83680164,949472.252276044,663,BE10,10,0.000626479586594385,0.00000980952228052277,0.000000774716466798256,0.0000000139736184082829
1195113.13284222,958749.161294326,664,BE11,10,0.000588531285103078,0.000010696888327827,-0.000000131358167691005,0.0000000109518164487723
1119980.3916872,911604.946274836,396,CD00,10,100.585224779684,257193.757577175,-6.05062578329386,290.699504321227
1130366.62111658,906608.192964332,398,CD01,10,46.75765572691,132282.935153806,-7.80514578885302,84.2467284912844
1140782.88203675,910900.730113145,399,CD02,10,55.1232955992643,255695.982149938,-3.81217815157726,86.0408754220915
1140431.14921867,898643.012777765,400,CD03,10,21.0141727442989,10284.9928409115,-1.4516357465067,9.3556520817954
1146976.91555992,904984.222853234,401,CD04,10,68.8368873273064,97950.5981087157,0.85799716041391,92.6664113200654
1152892.88726317,907980.155587414,679,CD05,10,0.000608498853351255,0.0000150515282783225,-0.0000000192495999942711,0.000000011073305500113
1149351.21363203,893950.708330816,402,CD06,10,49.900393203228,53199.3379573533,1.60902418250287,45.4731198277426
1157105.13095837,880651.839087245,415,CD07,10,28.5516075879244,13042.7175174189,-0.13225804023393,19.1751734471038
1166861.13956901,872216.886736499,693,CD08,10,0.000522383425969834,0.00000688974846245893,0.00000658961491202044,0.00000000983505264322255
1174940.49114278,862809.704392868,416,CD09,10,12.3262440343174,3309.41417073431,-0.880230499632518,3.85744169659832
1180553.81011553,866430.114942003,417,CD10,10,38.6531255609792,42494.4276639898,-4.70638009453427,68.9173882082247
1176142.11289354,873897.939390622,694,CD11,10,0.000608976053596402,0.00000796766514387868,0.00000347239025657619,0.0000000108137248406161
1173805.66860265,883542.896497048,118,CD12,10,1.44326856913331,39.1962433805987,-0.0843192736909112,0.0821998572783783
1169455.49320886,898169.541971107,683,CD13,10,0.000487653070106162,0.00000732814700429241,0.00000137005312417388,0.00000000878637224308865
1170122.50511477,907164.565980057,119,CD14,10,8.09977362885421,1279.99225055408,-0.363380703682691,1.96577638066068
1186588.2816237,918885.098387582,212,CE00,10,0.000479965191399757,0.00000521119269782214,0.00000833362176423679,0.00000000902567313988136
1177149.56124202,933449.593074966,213,CE01,10,41.8395982348107,30429.5076218399,-1.8294696751145,35.7091280223326
1182234.45487376,933869.116705362,214,CE02,10,29.2842381798305,18781.8162868144,-3.01818003108772,24.0675101881472
1186280.45839503,941561.539667771,215,CE03,10,59.8931619663752,88612.5926754059,1.26003543830796,58.9417342822714
1123936.9985376,1038914.38799064,376,CE05,10,19.9559170582045,7773.52708533418,-2.14338655535693,14.0564825435024
1135187.81108072,1014442.1120412,677,CE06,10,0.000401928470634617,0.00000528582984783711,-0.00000093469489326051,0.00000000698840702124682
1149375.87211999,1003540.01563561,377,CE07,10,2.91184748539364,261.744476872073,-0.378555937969393,0.276184153960635
1156315.76226843,991046.757120921,378,CE08,10,34.7599859015772,56574.0268949605,-0.424182084716568,35.9082416353014
1153420.55300729,983247.487835778,379,CE09,10,51.4997100861724,50941.6695016699,1.25293782198226,66.0727928404112
1151869.76921565,973329.640155223,380,CE10,10,98.7508052434826,307300.738820484,-2.36910932030965,165.357065612824
1154196.15995166,960999.340844003,381,CE11,10,100.095036085183,246809.59685763,1.17795087264667,176.463358450322
